mix_id;audio_file;center_time;time_mmss;quality_profile;expected_quality_label;human_rating;comment;crossfade_curve;key_compatibility_camelot_distance
synth_000131;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000131.wav;827.8;13:48;clean;5;;;linear;1
synth_000115;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000115.wav;716.6;11:57;abrupt;2;;;linear;1
synth_000086;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000086.wav;482.0;8:02;off_beat;3;;;equal_power;2
synth_000157;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000157.wav;751.6;12:32;train_wreck;1;;;equal_power;3
synth_000026;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000026.wav;244.9;4:05;key_clash;1;;;exponential;5
synth_000129;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000129.wav;242.7;4:03;clean;5;;;linear;0
synth_000020;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000020.wav;467.7;7:48;off_beat;2;;;linear;5
synth_000116;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000116.wav;60.7;1:01;off_phrase;2;;;exponential;5
synth_000096;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000096.wav;1218.6;20:19;train_wreck;1;;;linear;7
synth_000162;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000162.wav;158.9;2:39;clean;5;;;linear;1
synth_000004;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000004.wav;242.8;4:03;train_wreck;1;;;exponential;5
synth_000173;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000173.wav;711.6;11:52;key_clash;2;;;exponential;3
synth_000111;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000111.wav;1179.7;19:40;off_phrase;2;;;linear;3
synth_000127;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000127.wav;723.6;12:04;off_beat;2;;;exponential;5
synth_000099;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000099.wav;1079.5;17:59;abrupt;2;;;linear;4
synth_000055;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000055.wav;738.6;12:19;off_phrase;3;;;linear;4
synth_000034;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000034.wav;931.8;15:32;key_clash;2;;;exponential;3
synth_000067;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000067.wav;916.4;15:16;abrupt;2;;;linear;3
