mix_id;audio_file;center_time;time_mmss;quality_profile;expected_quality_label;human_rating;comment;crossfade_curve;key_compatibility_camelot_distance
synth_000001;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000001.wav;161.5;02:41;clean;5;2;kein Übergang, nur geblended;s_curve;1
synth_000001;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000001.wav;382.4;06:22;key_clash;1;1;;s_curve;6
synth_000001;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000001.wav;644.8;10:45;clean;5;1;;s_curve;1
synth_000001;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000001.wav;887.7;14:48;clean;5;2;Keys passen nicht;linear;1
synth_000001;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000001.wav;1021.1;17:01;clean;5;1;kein beatmatching;s_curve;0
synth_000002;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000002.wav;250.2;04:10;clean;5;2;;equal_power;1
synth_000002;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000002.wav;485.8;08:06;clean;5;1;;equal_power;1
synth_000002;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000002.wav;743.5;12:24;clean;5;2;;equal_power;1
synth_000002;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000002.wav;977.5;16:18;clean;5;2;;s_curve;0
synth_000002;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000002.wav;1227.6;20:28;key_clash;2;1;;linear;4
synth_000003;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000003.wav;244.9;04:05;key_clash;1;1;;exponential;5
synth_000003;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000003.wav;500.2;08:20;clean;5;1;;equal_power;0
synth_000003;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000003.wav;640.3;10:40;clean;5;1;;linear;1
synth_000003;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000003.wav;887.1;14:47;clean;5;1;;linear;1
synth_000004;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000004.wav;242.8;04:03;train_wreck;1;2;;exponential;5
synth_000004;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000004.wav;474.4;07:54;clean;5;2;;equal_power;1
synth_000004;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000004.wav;724.8;12:05;train_wreck;1;1;;s_curve;3
synth_000004;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000004.wav;985.7;16:26;clean;5;2;;equal_power;0
synth_000005;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000005.wav;253.5;04:14;off_phrase;2;2;;s_curve;3
synth_000005;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000005.wav;522.8;08:43;key_clash;2;2;;equal_power;3
synth_000005;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000005.wav;752.1;12:32;clean;5;1;;linear;1
synth_000006;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000006.wav;161.5;02:41;clean;5;2;;s_curve;1
synth_000006;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000006.wav;382.4;06:22;key_clash;1;1;;s_curve;6
synth_000006;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000006.wav;644.8;10:45;clean;5;1;;s_curve;1
