set_id,file_name,transition_center_time,human_rating,rater,verdict_info,engine_quality_score,phrase_beats_off,engine_label,comment,time_mmss,quelle
0383a764-4f88-425d-b3a6-7bda901e7725,synthetic_mix.wav,113.0,,sebro,,70,15.08,neutral,,1:53,erkannt
11da05af-edee-47c2-9b12-3972ab10448a,mix.wav,113.0,,sebro,,70,15.08,neutral,,1:53,erkannt
5b51fd6a-5f79-4afc-82fb-c2c2e5008e3b,mix.wav,113.0,,sebro,,70,15.08,neutral,,1:53,erkannt
94576c8d-c521-4df7-a7a8-f02b0cd7b538,synthetic_mix.wav,113.0,,sebro,,70,15.08,neutral,,1:53,erkannt
eee0b095-3932-44fb-8b6d-373722aff4ac,mix.wav,113.0,,sebro,,70,15.08,neutral,,1:53,erkannt
fdc53ee6-9fe5-4990-88d6-03dbcd511f66,mix.wav,113.0,,sebro,,70,15.08,neutral,,1:53,erkannt
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),619.6,,sebro,correct,,,,,10:20,nur_ground_truth
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),788.3,,sebro,correct,,,,,13:08,nur_ground_truth
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),999.6,,sebro,correct,,,,,16:40,nur_ground_truth
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),1148.6,,sebro,correct,,,,,19:09,nur_ground_truth
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),1250.4,,sebro,correct,,,,,20:50,nur_ground_truth
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),1372.3,,sebro,correct,,,,,22:52,nur_ground_truth
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),1541.7,,sebro,correct,,,,,25:42,nur_ground_truth
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),1857.6,,sebro,timing_off (Engine: 1909.9s -> korrigiert),,,,,30:58,nur_ground_truth
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),2109.1,,sebro,correct,,,,,35:09,nur_ground_truth
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),2232.5,,sebro,correct,,,,,37:13,nur_ground_truth
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),2305.6,,sebro,timing_off (Engine: 2386.2s -> korrigiert),,,,,38:26,nur_ground_truth
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),2374.7,,sebro,timing_off (Engine: 2450.5s -> korrigiert),,,,,39:35,nur_ground_truth
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),2692.4,,sebro,timing_off (Engine: 2718.8s -> korrigiert),,,,,44:52,nur_ground_truth
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),2983.5,,sebro,timing_off (Engine: 3029.9s -> korrigiert),,,,,49:43,nur_ground_truth
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),3046.6,,sebro,timing_off (Engine: 3092.8s -> korrigiert),,,,,50:47,nur_ground_truth
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),3330.4,,sebro,correct,,,,,55:30,nur_ground_truth
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),3393.2,,sebro,correct,,,,,56:33,nur_ground_truth
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),3586.2,,sebro,timing_off (Engine: 3605.7s -> korrigiert),,,,,59:46,nur_ground_truth
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),3653.4,,sebro,timing_off (Engine: 3690.9s -> korrigiert),,,,,60:53,nur_ground_truth
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),3881.9,,sebro,correct,,,,,64:42,nur_ground_truth
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),3956.8,,sebro,timing_off (Engine: 4004.8s -> korrigiert),,,,,65:57,nur_ground_truth
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),4122.9,,sebro,timing_off (Engine: 4243.2s -> korrigiert),,,,,68:43,nur_ground_truth
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),4368.0,,sebro,correct,,,,,72:48,nur_ground_truth
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),4337.7,,sebro,timing_off (Engine: 4455.1s -> korrigiert),,,,,72:18,nur_ground_truth
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),4713.2,,sebro,correct,,,,,78:33,nur_ground_truth
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),5300.0,,sebro,timing_off (Engine: 5309.6s -> korrigiert),,,,,88:20,nur_ground_truth
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),5484.4,,sebro,correct,,,,,91:24,nur_ground_truth
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),5789.4,,sebro,timing_off (Engine: 5804.9s -> korrigiert),,,,,96:29,nur_ground_truth
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),5976.9,,sebro,timing_off (Engine: 6049.7s -> korrigiert),,,,,99:37,nur_ground_truth
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),6150.3,,sebro,timing_off (Engine: 6310.8s -> korrigiert),,,,,102:30,nur_ground_truth
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),6565.3,,sebro,timing_off (Engine: 6628.9s -> korrigiert),,,,,109:25,nur_ground_truth
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),183.7,,sebro,missed (von dir markiert),,,,,3:04,missed
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),221.8,,sebro,missed (von dir markiert),,,,,3:42,missed
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),305.0,,sebro,missed (von dir markiert),,,,,5:05,missed
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),6837.3,,sebro,missed (von dir markiert),,,,,113:57,missed
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),7015.6,,sebro,missed (von dir markiert),,,,,116:56,missed
04804f27-2755-4db3-8f0b-f57d3315737c,(Ergebnis-JSON fehlt),7167.2,,sebro,missed (von dir markiert),,,,,119:27,missed
0b292660-9d0c-407d-b09a-13331d388298,(Ergebnis-JSON fehlt),219.0,,sebro,timing_off (Engine: 263.0s -> korrigiert),,,,,3:39,nur_ground_truth
0b292660-9d0c-407d-b09a-13331d388298,(Ergebnis-JSON fehlt),1468.5,,sebro,timing_off (Engine: 1484.0s -> korrigiert),,,,,24:29,nur_ground_truth
0b292660-9d0c-407d-b09a-13331d388298,(Ergebnis-JSON fehlt),381.1,,sebro,missed (von dir markiert),,,,,6:21,missed
0b292660-9d0c-407d-b09a-13331d388298,(Ergebnis-JSON fehlt),594.9,,sebro,missed (von dir markiert),,,,,9:55,missed
0b292660-9d0c-407d-b09a-13331d388298,(Ergebnis-JSON fehlt),926.8,,sebro,missed (von dir markiert),,,,,15:27,missed
0b292660-9d0c-407d-b09a-13331d388298,(Ergebnis-JSON fehlt),1125.0,,sebro,missed (von dir markiert),,,,,18:45,missed
2d77d3fc-2c42-4242-812b-738f9fa28467,(Ergebnis-JSON fehlt),586.3,,sebro,timing_off (Engine: 610.8s -> korrigiert),,,,,9:46,nur_ground_truth
2d77d3fc-2c42-4242-812b-738f9fa28467,(Ergebnis-JSON fehlt),813.0,,sebro,correct,,,,,13:33,nur_ground_truth
2d77d3fc-2c42-4242-812b-738f9fa28467,(Ergebnis-JSON fehlt),875.5,,sebro,timing_off (Engine: 969.6s -> korrigiert),,,,,14:36,nur_ground_truth
2d77d3fc-2c42-4242-812b-738f9fa28467,(Ergebnis-JSON fehlt),1105.5,,sebro,timing_off (Engine: 1138.5s -> korrigiert),,,,,18:26,nur_ground_truth
2d77d3fc-2c42-4242-812b-738f9fa28467,(Ergebnis-JSON fehlt),1297.4,,sebro,timing_off (Engine: 1269.5s -> korrigiert),,,,,21:37,nur_ground_truth
2d77d3fc-2c42-4242-812b-738f9fa28467,(Ergebnis-JSON fehlt),1246.0,,sebro,timing_off (Engine: 1330.0s -> korrigiert),,,,,20:46,nur_ground_truth
2d77d3fc-2c42-4242-812b-738f9fa28467,(Ergebnis-JSON fehlt),1608.0,,sebro,timing_off (Engine: 1629.8s -> korrigiert),,,,,26:48,nur_ground_truth
2d77d3fc-2c42-4242-812b-738f9fa28467,(Ergebnis-JSON fehlt),1857.6,,sebro,timing_off (Engine: 1906.6s -> korrigiert),,,,,30:58,nur_ground_truth
2d77d3fc-2c42-4242-812b-738f9fa28467,(Ergebnis-JSON fehlt),2154.1,,sebro,timing_off (Engine: 2187.1s -> korrigiert),,,,,35:54,nur_ground_truth
